"_time","avg_ResponseTime","min_ResponseTime","max_ResponseTime"
"2025-03-10T19:45:00.000-0400","3.1502000000000003","2.546","3.684"
"2025-03-10T20:00:00.000-0400","3.18675","2.576","4.340"
"2025-03-10T20:15:00.000-0400","3.1687826086956523","2.567","7.040"
"2025-03-10T20:30:00.000-0400","3.173894736842105","2.764","4.216"
"2025-03-10T20:45:00.000-0400","2.9542777777777776","2.514","3.845"
"2025-03-10T21:00:00.000-0400","3.18935","2.448","3.941"
"2025-03-10T21:15:00.000-0400","3.1419","2.504","4.376"
"2025-03-10T21:30:00.000-0400","3.03025","2.550","3.849"
"2025-03-10T21:45:00.000-0400","2.9619565217391304","2.395","3.866"
"2025-03-10T22:00:00.000-0400","2.9831764705882353","2.421","5.088"
"2025-03-10T22:15:00.000-0400","2.9561904761904763","2.612","3.502"
"2025-03-10T22:30:00.000-0400","3.0675263157894737","2.430","4.917"
"2025-03-10T22:45:00.000-0400","3.167352941176471","2.456","4.560"
"2025-03-10T23:00:00.000-0400","2.981","2.593","3.667"
"2025-03-10T23:15:00.000-0400","3.0203333333333333","2.297","5.058"
"2025-03-10T23:30:00.000-0400","3.1009999999999995","2.441","4.058"
"2025-03-10T23:45:00.000-0400","3.0155000000000003","2.634","3.253"
"2025-03-11T00:00:00.000-0400","3.0434117647058825","2.451","4.277"
"2025-03-11T00:15:00.000-0400","2.962357142857143","2.555","3.838"
"2025-03-11T00:30:00.000-0400","2.9933333333333336","2.606","3.531"
"2025-03-11T00:45:00.000-0400","3.37575","2.782","3.738"
"2025-03-11T01:00:00.000-0400","3.3335","2.827","3.668"
"2025-03-11T01:15:00.000-0400","3.3057142857142856","2.588","4.714"
"2025-03-11T01:30:00.000-0400","3.3240000000000003","2.534","4.346"
"2025-03-11T01:45:00.000-0400","2.795","2.795","2.795"
"2025-03-11T02:00:00.000-0400","3.0681999999999996","2.654","3.620"
"2025-03-11T02:15:00.000-0400","2.569","2.549","2.589"
"2025-03-11T02:30:00.000-0400","2.8736","2.542","3.675"
"2025-03-11T02:45:00.000-0400","2.664","2.299","2.923"
"2025-03-11T03:00:00.000-0400","2.9690000000000003","2.969","2.969"
"2025-03-11T03:15:00.000-0400","3.02","3.02","3.02"
"2025-03-11T03:30:00.000-0400","2.834","2.834","2.834"
"2025-03-11T03:45:00.000-0400",,,
"2025-03-11T04:00:00.000-0400","2.7816666666666667","2.265","3.087"
"2025-03-11T04:15:00.000-0400","2.5564999999999998","2.529","2.584"
"2025-03-11T04:30:00.000-0400",,,
"2025-03-11T04:45:00.000-0400","2.6716","2.455","3.192"
"2025-03-11T05:00:00.000-0400","3.0595","2.920","3.199"
"2025-03-11T05:15:00.000-0400","2.8863333333333334","2.591","3.049"
"2025-03-11T05:30:00.000-0400","2.8173333333333335","2.542","3.305"
"2025-03-11T05:45:00.000-0400","3.307","3.307","3.307"
"2025-03-11T06:00:00.000-0400","3.139333333333333","2.750","3.699"
"2025-03-11T06:15:00.000-0400","3.9029999999999996","3.561","4.361"
"2025-03-11T06:30:00.000-0400","3.5433749999999997","2.924","4.270"
"2025-03-11T06:45:00.000-0400","3.5260000000000002","3.136","3.917"
"2025-03-11T07:00:00.000-0400","3.2824999999999998","3.024","3.541"
"2025-03-11T07:15:00.000-0400","3.5107142857142857","2.923","4.122"
"2025-03-11T07:30:00.000-0400","3.130181818181818","2.578","3.543"
"2025-03-11T07:45:00.000-0400","3.01825","2.853","3.204"
"2025-03-11T08:00:00.000-0400","3.2337777777777776","2.726","4.023"
"2025-03-11T08:15:00.000-0400","3.178375","2.705","4.084"
"2025-03-11T08:30:00.000-0400","2.9752941176470586","2.506","3.822"
"2025-03-11T08:45:00.000-0400","3.1643","2.648","4.044"
"2025-03-11T09:00:00.000-0400","2.996166666666667","2.455","3.695"
"2025-03-11T09:15:00.000-0400","3.28425","3.023","3.762"
"2025-03-11T09:30:00.000-0400","3.1884","2.684","4.120"
"2025-03-11T09:45:00.000-0400","3.2787999999999995","2.963","4.254"
"2025-03-11T10:00:00.000-0400","3.0560666666666667","2.508","3.443"
"2025-03-11T10:15:00.000-0400","3.0296000000000003","2.492","3.615"
"2025-03-11T10:30:00.000-0400","3.1656666666666666","2.646","4.339"
"2025-03-11T10:45:00.000-0400","3.2723333333333335","2.773","4.537"
"2025-03-11T11:00:00.000-0400","3.0131818181818177","2.568","3.866"
"2025-03-11T11:15:00.000-0400","3.3531666666666666","2.636","4.674"
"2025-03-11T11:30:00.000-0400","3.0072727272727273","2.512","4.009"
"2025-03-11T11:45:00.000-0400","3.030538461538462","2.637","3.978"
"2025-03-11T12:00:00.000-0400","3.3398571428571424","2.509","5.523"
"2025-03-11T12:15:00.000-0400","3.3035714285714284","2.615","3.657"
"2025-03-11T12:30:00.000-0400","3.0699285714285716","2.540","4.122"
"2025-03-11T12:45:00.000-0400","3.1210625","2.543","3.882"
"2025-03-11T13:00:00.000-0400","3.115176470588235","2.642","3.727"
"2025-03-11T13:15:00.000-0400","3.498933333333333","3.034","4.776"
